feature,coef,abs_coef
q_q9,-0.29100720242857353,0.29100720242857353
q_q29,0.24788625061163386,0.24788625061163386
q_q24,-0.17925642150829138,0.17925642150829138
q_q2,-0.12403398054929865,0.12403398054929865
q_q19,-0.10090833108491958,0.10090833108491958
q_q25,-0.0910767223615767,0.0910767223615767
q_q22,-0.08827033776356764,0.08827033776356764
q_q37,0.08621049531073996,0.08621049531073996
q_q26,-0.0849586957810321,0.0849586957810321
q_q36,0.08417666396080203,0.08417666396080203
q_q27,-0.0795197744933984,0.0795197744933984
q_q5,0.07325030150571843,0.07325030150571843
q_q6,0.07105509598054117,0.07105509598054117
q_q1,-0.07041392889255817,0.07041392889255817
q_q10,0.06672032504222758,0.06672032504222758
q_q18,-0.06080555078111694,0.06080555078111694
q_q12,0.056462679738292554,0.056462679738292554
q_q8,0.056025427328548164,0.056025427328548164
q_q14,0.04965707932255606,0.04965707932255606
q_q16,-0.04406087572600545,0.04406087572600545
q_q31,-0.04285377866725261,0.04285377866725261
q_q23,0.039406130747537176,0.039406130747537176
q_q17,-0.03818271836581282,0.03818271836581282
q_q39,-0.03651570628728178,0.03651570628728178
q_q30,0.036297190138714186,0.036297190138714186
q_q28,0.03151144013259903,0.03151144013259903
q_q20,0.03138813682311992,0.03138813682311992
q_q33,0.02792658056208071,0.02792658056208071
q_q11,-0.025961501043877316,0.025961501043877316
q_q34,0.024220378529481765,0.024220378529481765
q_q4,0.02229500550782422,0.02229500550782422
q_q7,0.021856180343160777,0.021856180343160777
q_q21,-0.018989184817940704,0.018989184817940704
q_q15,-0.017478561593268067,0.017478561593268067
q_q38,-0.00901550953018877,0.00901550953018877
q_q13,0.006027980015003528,0.006027980015003528
q_q35,0.003561666227329278,0.003561666227329278
q_q32,0.003441815029432599,0.003441815029432599
q_q3,0.000777346726392731,0.000777346726392731
