feature,coef,abs_coef
q_q8,-0.4151922135036704,0.4151922135036704
q_q2,-0.2684607137267493,0.2684607137267493
q_q38,0.10239804228508904,0.10239804228508904
q_q23,-0.09057941400813835,0.09057941400813835
q_q20,0.08061918428145229,0.08061918428145229
q_q35,-0.07812509613340061,0.07812509613340061
q_q30,-0.07698930474419811,0.07698930474419811
q_q25,-0.07495823224199247,0.07495823224199247
q_q37,0.07415760265441161,0.07415760265441161
q_q31,-0.07163836581880677,0.07163836581880677
q_q9,-0.06280182632980831,0.06280182632980831
q_q6,0.05986660427948864,0.05986660427948864
q_q16,0.057106262635356814,0.057106262635356814
q_q28,0.05151021855817378,0.05151021855817378
q_q36,0.05091179594566514,0.05091179594566514
q_q1,0.050856619233392554,0.050856619233392554
q_q33,0.044261555231686726,0.044261555231686726
q_q13,0.04225991474758361,0.04225991474758361
q_q29,-0.03880405636019808,0.03880405636019808
q_q22,-0.03728062347877196,0.03728062347877196
q_q15,-0.035859567582203,0.035859567582203
q_q32,0.033663844528667546,0.033663844528667546
q_q19,-0.024104740448473088,0.024104740448473088
q_q12,0.023394305042358884,0.023394305042358884
q_q3,0.02234558058819959,0.02234558058819959
q_q27,-0.022161313618871185,0.022161313618871185
q_q18,-0.021892487378019625,0.021892487378019625
q_q26,0.016787652026911345,0.016787652026911345
q_q39,-0.009625266266754173,0.009625266266754173
q_q14,-0.008886805072626054,0.008886805072626054
q_q10,0.008811035929601141,0.008811035929601141
q_q5,0.007670932735963939,0.007670932735963939
q_q7,-0.0075347588153115725,0.0075347588153115725
q_q21,-0.006413816791106745,0.006413816791106745
q_q4,-0.006054821327853727,0.006054821327853727
q_q24,-0.004349015703359738,0.004349015703359738
q_q34,-0.0016782430221827492,0.0016782430221827492
q_q17,-0.0010627732418375118,0.0010627732418375118
q_q11,0.00016219609762635647,0.00016219609762635647
