feature,coef,abs_coef
q_q37,-0.2580074597348621,0.2580074597348621
q_q23,-0.11328482705722287,0.11328482705722287
q_q12,-0.07704236867180105,0.07704236867180105
q_q31,-0.07246409251226267,0.07246409251226267
q_q28,0.06776137903970818,0.06776137903970818
q_q7,-0.06638453671221692,0.06638453671221692
q_q5,-0.06455151838513948,0.06455151838513948
q_q38,0.06220835691682081,0.06220835691682081
q_q22,0.06069727702721366,0.06069727702721366
q_q33,0.056224823904948096,0.056224823904948096
q_q9,-0.05516460778071577,0.05516460778071577
q_q25,0.053594383337599964,0.053594383337599964
q_q4,0.0529831940673403,0.0529831940673403
q_q13,0.0517161823194582,0.0517161823194582
q_q35,-0.04887822540577871,0.04887822540577871
q_q18,0.0474716518091048,0.0474716518091048
q_q29,-0.046014383296560074,0.046014383296560074
q_q24,0.0456849963117149,0.0456849963117149
q_q17,0.03620032943790176,0.03620032943790176
q_q10,-0.03265200719728132,0.03265200719728132
q_q2,0.027643453151859548,0.027643453151859548
q_q14,0.0257800811066409,0.0257800811066409
q_q15,0.024343047512463304,0.024343047512463304
q_q30,-0.02432467589251849,0.02432467589251849
q_q21,0.023723290243881555,0.023723290243881555
q_q39,0.023336207075743163,0.023336207075743163
q_q27,0.02315207576022852,0.02315207576022852
q_q32,-0.020889170856377176,0.020889170856377176
q_q1,-0.015933722326500175,0.015933722326500175
q_q26,0.015142654967420982,0.015142654967420982
q_q8,0.014691029316808634,0.014691029316808634
q_q11,0.009382766063133433,0.009382766063133433
q_q20,-0.008503539964656782,0.008503539964656782
q_q36,0.008317129761076687,0.008317129761076687
q_q3,-0.0075941521915233595,0.0075941521915233595
q_q16,0.00742911455551013,0.00742911455551013
q_q34,-0.004090768484881389,0.004090768484881389
q_q6,-0.002741733620963234,0.002741733620963234
q_q19,0.001022390363279609,0.001022390363279609
