feature,coef,abs_coef
q_q28,-0.47571014363981146,0.47571014363981146
q_q12,0.3855895273478968,0.3855895273478968
q_q32,-0.27300024023286795,0.27300024023286795
q_q39,0.1807327604835068,0.1807327604835068
q_q35,-0.15073332121140828,0.15073332121140828
q_q23,0.14821109636524232,0.14821109636524232
q_q26,0.14654141450567074,0.14654141450567074
q_q29,0.1313038579844212,0.1313038579844212
q_q11,-0.1226669261238105,0.1226669261238105
q_q33,0.11272488604207408,0.11272488604207408
q_q24,0.10828008890771484,0.10828008890771484
q_q6,-0.10558807640547675,0.10558807640547675
q_q22,-0.10230613003427312,0.10230613003427312
q_q14,-0.10197115860588148,0.10197115860588148
q_q1,0.10011215065909693,0.10011215065909693
q_q8,0.09537074413658346,0.09537074413658346
q_q4,0.08736951434388918,0.08736951434388918
q_q37,-0.06676431926419367,0.06676431926419367
q_q2,-0.06058077144780326,0.06058077144780326
q_q3,0.0603054099073319,0.0603054099073319
q_q9,0.05929863818606411,0.05929863818606411
q_q15,-0.058979328033922584,0.058979328033922584
q_q27,0.05681228379686869,0.05681228379686869
q_q31,0.04694971088112555,0.04694971088112555
q_q19,-0.046281608871950146,0.046281608871950146
q_q21,-0.04497649990243877,0.04497649990243877
q_q13,0.03924525189378918,0.03924525189378918
q_q38,-0.03685137084299307,0.03685137084299307
q_q18,0.03554058257224105,0.03554058257224105
q_q16,-0.03217139234394694,0.03217139234394694
q_q25,-0.032001739343507196,0.032001739343507196
q_q17,-0.02473785562682136,0.02473785562682136
q_q36,-0.0228704260086916,0.0228704260086916
q_q34,0.021995522933575897,0.021995522933575897
q_q10,0.021109910825897537,0.021109910825897537
q_q7,-0.018670359534061147,0.018670359534061147
q_q30,0.015512549102818308,0.015512549102818308
q_q5,0.0029717862088009103,0.0029717862088009103
q_q20,-0.0011706713774002379,0.0011706713774002379
