segment,n,match_rate,EI_rate,SN_rate,TF_rate,JP_rate
all,5679,0.13963726008100016,0.6397253037506603,0.5478077126254622,0.6490579327346364,0.5763338615953513
confidence>=4,3728,0.14994635193133046,0.6523605150214592,0.5531115879828327,0.6528969957081545,0.5810085836909872
confidence>=5,2105,0.15914489311163896,0.6527315914489311,0.5505938242280285,0.6688836104513064,0.5767220902612826
